category,id,slug,asset_type,tier,path,status,notes
player,1,kylian-mbappe,portrait,T1,assets/players/kylian-mbappe/portrait.svg,present,Kylian Mbappé
player,1,kylian-mbappe,form1,T1,assets/players/kylian-mbappe/form-1.png,missing,Kylian Mbappé
player,1,kylian-mbappe,form2,T1,assets/players/kylian-mbappe/form-2.png,missing,Kylian Mbappé
player,1,kylian-mbappe,form3,T1,assets/players/kylian-mbappe/form-3.png,missing,Kylian Mbappé
player,1,kylian-mbappe,album,T1,assets/players/kylian-mbappe/album.svg,present,Kylian Mbappé
player,1,kylian-mbappe,battle,T1,assets/players/kylian-mbappe/battle.svg,present,Kylian Mbappé
player,1,kylian-mbappe,squad,T1,assets/players/kylian-mbappe/squad.svg,present,Kylian Mbappé
player,2,lionel-messi,portrait,T1,assets/players/lionel-messi/portrait.svg,present,Lionel Messi
player,2,lionel-messi,form1,T1,assets/players/lionel-messi/form-1.png,missing,Lionel Messi
player,2,lionel-messi,form2,T1,assets/players/lionel-messi/form-2.png,missing,Lionel Messi
player,2,lionel-messi,form3,T1,assets/players/lionel-messi/form-3.png,missing,Lionel Messi
player,2,lionel-messi,album,T1,assets/players/lionel-messi/album.svg,present,Lionel Messi
player,2,lionel-messi,battle,T1,assets/players/lionel-messi/battle.svg,present,Lionel Messi
player,2,lionel-messi,squad,T1,assets/players/lionel-messi/squad.svg,present,Lionel Messi
player,3,virgil-van-dijk,portrait,T1,assets/players/virgil-van-dijk/portrait.svg,present,Virgil van Dijk
player,3,virgil-van-dijk,form1,T1,assets/players/virgil-van-dijk/form-1.png,missing,Virgil van Dijk
player,3,virgil-van-dijk,form2,T1,assets/players/virgil-van-dijk/form-2.png,missing,Virgil van Dijk
player,3,virgil-van-dijk,form3,T1,assets/players/virgil-van-dijk/form-3.png,missing,Virgil van Dijk
player,3,virgil-van-dijk,album,T1,assets/players/virgil-van-dijk/album.svg,present,Virgil van Dijk
player,3,virgil-van-dijk,battle,T1,assets/players/virgil-van-dijk/battle.svg,present,Virgil van Dijk
player,3,virgil-van-dijk,squad,T1,assets/players/virgil-van-dijk/squad.svg,present,Virgil van Dijk
player,4,erling-haaland,portrait,T1,assets/players/erling-haaland/portrait.svg,present,Erling Haaland
player,4,erling-haaland,form1,T1,assets/players/erling-haaland/form-1.png,missing,Erling Haaland
player,4,erling-haaland,form2,T1,assets/players/erling-haaland/form-2.png,missing,Erling Haaland
player,4,erling-haaland,form3,T1,assets/players/erling-haaland/form-3.png,missing,Erling Haaland
player,4,erling-haaland,album,T1,assets/players/erling-haaland/album.svg,present,Erling Haaland
player,4,erling-haaland,battle,T1,assets/players/erling-haaland/battle.svg,present,Erling Haaland
player,4,erling-haaland,squad,T1,assets/players/erling-haaland/squad.svg,present,Erling Haaland
player,6,luka-modric,portrait,T1,assets/players/luka-modric/portrait.svg,present,Luka Modrić
player,6,luka-modric,form1,T1,assets/players/luka-modric/form-1.png,missing,Luka Modrić
player,6,luka-modric,form2,T1,assets/players/luka-modric/form-2.png,missing,Luka Modrić
player,6,luka-modric,form3,T1,assets/players/luka-modric/form-3.png,missing,Luka Modrić
player,6,luka-modric,album,T1,assets/players/luka-modric/album.svg,present,Luka Modrić
player,6,luka-modric,battle,T1,assets/players/luka-modric/battle.svg,present,Luka Modrić
player,6,luka-modric,squad,T1,assets/players/luka-modric/squad.svg,present,Luka Modrić
player,7,mohamed-salah,portrait,T1,assets/players/mohamed-salah/portrait.svg,present,Mohamed Salah
player,7,mohamed-salah,form1,T1,assets/players/mohamed-salah/form-1.png,missing,Mohamed Salah
player,7,mohamed-salah,form2,T1,assets/players/mohamed-salah/form-2.png,missing,Mohamed Salah
player,7,mohamed-salah,form3,T1,assets/players/mohamed-salah/form-3.png,missing,Mohamed Salah
player,7,mohamed-salah,album,T1,assets/players/mohamed-salah/album.svg,present,Mohamed Salah
player,7,mohamed-salah,battle,T1,assets/players/mohamed-salah/battle.svg,present,Mohamed Salah
player,7,mohamed-salah,squad,T1,assets/players/mohamed-salah/squad.svg,present,Mohamed Salah
player,9,rodri,portrait,T1,assets/players/rodri/portrait.svg,present,Rodri
player,9,rodri,form1,T1,assets/players/rodri/form-1.png,missing,Rodri
player,9,rodri,form2,T1,assets/players/rodri/form-2.png,missing,Rodri
player,9,rodri,form3,T1,assets/players/rodri/form-3.png,missing,Rodri
player,9,rodri,album,T1,assets/players/rodri/album.svg,present,Rodri
player,9,rodri,battle,T1,assets/players/rodri/battle.svg,present,Rodri
player,9,rodri,squad,T1,assets/players/rodri/squad.svg,present,Rodri
player,10,jude-bellingham,portrait,T1,assets/players/jude-bellingham/portrait.svg,present,Jude Bellingham
player,10,jude-bellingham,form1,T1,assets/players/jude-bellingham/form-1.png,missing,Jude Bellingham
player,10,jude-bellingham,form2,T1,assets/players/jude-bellingham/form-2.png,missing,Jude Bellingham
player,10,jude-bellingham,form3,T1,assets/players/jude-bellingham/form-3.png,missing,Jude Bellingham
player,10,jude-bellingham,album,T1,assets/players/jude-bellingham/album.svg,present,Jude Bellingham
player,10,jude-bellingham,battle,T1,assets/players/jude-bellingham/battle.svg,present,Jude Bellingham
player,10,jude-bellingham,squad,T1,assets/players/jude-bellingham/squad.svg,present,Jude Bellingham
player,12,pedri,portrait,T1,assets/players/pedri/portrait.svg,present,Pedri
player,12,pedri,form1,T1,assets/players/pedri/form-1.png,missing,Pedri
player,12,pedri,form2,T1,assets/players/pedri/form-2.png,missing,Pedri
